Sl No,Emplid,Campus ID,QUIZ 1
1,41120250570,2025A1PS0570H,2
2,41120250575,2025A1PS0575H,0
3,41120250577,2025A1PS0577H,0
4,41120250585,2025A1PS0585H,0
5,41120250701,2025A1PS0701H,0
6,41120250955,2025A1PS0955H,6
7,41120250958,2025A1PS0958H,0
8,41120250961,2025A1PS0961H,0
9,41120250964,2025A1PS0964H,0
10,41120250966,2025A1PS0966H,8
11,41120251103,2025A1PS1103H,0
12,41120251108,2025A1PS1108H,0
13,41120251132,2025A1PS1132H,4
14,41120251135,2025A1PS1135H,0
15,41120251252,2025A1PS1252H,0
16,41120251261,2025A1PS1261H,0
17,41120251262,2025A1PS1262H,2
18,41120251266,2025A1PS1266H,0
19,41120251296,2025A1PS1296H,6
20,41120251298,2025A1PS1298H,0
21,41120251299,2025A1PS1299H,8
22,41120251301,2025A1PS1301H,2
23,41120251338,2025A1PS1338H,2
24,41120251339,2025A1PS1339H,8
25,41120251340,2025A1PS1340H,10
26,41120251345,2025A1PS1345H,4
27,41120251391,2025A1PS1391H,2
28,41120251469,2025A1PS1469H,2
29,41120251470,2025A1PS1470H,2
30,41120251471,2025A1PS1471H,10
31,41120252036,2025A1PS2036H,
32,41120252060,2025A1PS2060H,0
33,41120250665,2025A2PS0665H,10
34,41120250672,2025A2PS0672H,4
35,41120251257,2025A2PS1257H,4
36,41120251259,2025A2PS1259H,2
37,41120251263,2025A2PS1263H,2
38,41120251264,2025A2PS1264H,8
39,41120251342,2025A2PS1342H,2
40,41120251343,2025A2PS1343H,4
41,41120251344,2025A2PS1344H,0
42,41120251346,2025A2PS1346H,8
43,41120251348,2025A2PS1348H,0
44,41120251349,2025A2PS1349H,0
45,41120251350,2025A2PS1350H,0
46,41120251403,2025A2PS1403H,4
47,41120251416,2025A2PS1416H,0
48,41120251430,2025A2PS1430H,
49,41120251473,2025A2PS1473H,0
50,41120251474,2025A2PS1474H,
51,41120251480,2025A2PS1480H,2
52,41120250262,2025A3PS0262H,6
53,41120250272,2025A3PS0272H,4
54,41120250297,2025A3PS0297H,8
55,41120250306,2025A3PS0306H,4
56,41120250321,2025A3PS0321H,4
57,41120250323,2025A3PS0323H,0
58,41120250326,2025A3PS0326H,4
59,41120250327,2025A3PS0327H,0
60,41120250329,2025A3PS0329H,2
61,41120250330,2025A3PS0330H,4
62,41120250333,2025A3PS0333H,14
63,41120250334,2025A3PS0334H,2
64,41120250336,2025A3PS0336H,12
65,41120250339,2025A3PS0339H,0
66,41120250344,2025A3PS0344H,0
67,41120250347,2025A3PS0347H,4
68,41120250366,2025A3PS0366H,8
69,41120250367,2025A3PS0367H,4
70,41120250373,2025A3PS0373H,4
71,41120250374,2025A3PS0374H,2
72,41120250376,2025A3PS0376H,2
73,41120250380,2025A3PS0380H,2
74,41120250381,2025A3PS0381H,2
75,41120250387,2025A3PS0387H,2
